UCE[V],IC[mA]
0.01,0.00
0.03,0.27
0.05,0.79
0.07,1.60
0.09,2.99
0.11,4.45
0.13,5.88
0.15,7.68
0.17,8.80
0.19,9.74
0.21,10.17
0.25,10.90
0.40,11.68
0.50,12.04
0.75,12.43
1.00,12.51
2.00,12.73
5.00,13.26
10.0,14.18
