UCE[V],IC[mA]
0.01,0
0.05,0.47
0.08,1.33
0.10,2.23
0.12,3.51
0.14,4.50
0.16,5.58
0.18,6.32
0.20,6.84
0.22,7.14
0.25,7.40
0.30,7.66
0.40,7.88
0.50,7.99
0.70,8.04
0.85,8.06
1.00,8.08
1.50,8.13
2.00,8.19
3.00,8.32
4.00,8.40
6.00,8.59
8.00,8.84
10.0,9.06
